Market|Product|DRG Parent ID|Payer|Payer Channel|Medical Lives|Access Category|Access|Policy Date|Review Date
Infliximab|Inflectra|956|Aetna|Medicare Advantage Plan|1703323|Renflexis v. Inflectra - GI|Remicade Preferred|5/24/2019|
Infliximab|Inflectra|956|Aetna|Medicare Advantage Plan|1703323|Renflexis v. Inflectra - Rheum|Parity|5/24/2019|
Infliximab|Inflectra|956|Aetna|Medicare Advantage Plan|1703323|Renflexis v. Remicade & Inflectra - Rheum|Remicade Preferred|5/24/2019|
Infliximab|Inflectra|956|Aetna|Medicare Advantage Plan|1703323|Inflectra v. Remicade|Remicade Preferred|5/24/2019|
Infliximab|Renflexis|1251|Anthem|Medicare Advantage Plan|900233|Renflexis v. Remicade - GI|Parity|12/16/2019|
Infliximab|Renflexis|1251|Anthem|Medicare Advantage Plan|900233|Renflexis v. Remicade - Rheum|Parity|12/16/2019|
Infliximab|Inflectra|1251|Anthem|Medicare Advantage Plan|900233|Renflexis v. Inflectra - GI|Parity|12/16/2019|
Infliximab|Inflectra|1251|Anthem|Medicare Advantage Plan|900233|Renflexis v. Inflectra - Rheum|Parity|12/16/2019|
Infliximab|Inflectra|1251|Anthem|Medicare Advantage Plan|900233|Renflexis v. Remicade & Inflectra - Rheum|Parity|12/16/2019|
Infliximab|Inflectra|1251|Anthem|Medicare Advantage Plan|900233|Inflectra v. Remicade|Parity|12/16/2019|
Infliximab|Renflexis|994|BlueCross Idaho|Medicare Advantage Plan|25459|Renflexis v. Remicade - GI|Remicade Preferred|6/1/2019|
Infliximab|Renflexis|994|BlueCross Idaho|Medicare Advantage Plan|25459|Renflexis v. Remicade - Rheum|Remicade Preferred|6/1/2019|
Infliximab|Inflectra|994|BlueCross Idaho|Medicare Advantage Plan|25459|Renflexis v. Inflectra - GI|Parity|6/1/2019|
Infliximab|Inflectra|994|BlueCross Idaho|Medicare Advantage Plan|25459|Renflexis v. Inflectra - Rheum|Parity|6/1/2019|
Infliximab|Inflectra|994|BlueCross Idaho|Medicare Advantage Plan|25459|Renflexis v. Remicade & Inflectra - Rheum|Remicade Preferred|6/1/2019|
Infliximab|Inflectra|994|BlueCross Idaho|Medicare Advantage Plan|25459|Inflectra v. Remicade|Remicade Preferred|6/1/2019|
Infliximab|Renflexis|975|Blue Cross and Blue Shield of Alabama|Medicare Advantage Plan|87964|Renflexis v. Remicade - GI|Remicade Preferred|7/1/2019|
Infliximab|Renflexis|975|Blue Cross and Blue Shield of Alabama|Medicare Advantage Plan|87964|Renflexis v. Remicade - Rheum|Remicade Preferred|7/1/2019|
Infliximab|Inflectra|975|Blue Cross and Blue Shield of Alabama|Medicare Advantage Plan|87964|Renflexis v. Inflectra - GI|Parity|7/1/2019|
Infliximab|Inflectra|975|Blue Cross and Blue Shield of Alabama|Medicare Advantage Plan|87964|Renflexis v. Inflectra - Rheum|Parity|7/1/2019|
Infliximab|Inflectra|975|Blue Cross and Blue Shield of Alabama|Medicare Advantage Plan|87964|Renflexis v. Remicade & Inflectra - Rheum|Remicade Preferred|7/1/2019|
Infliximab|Inflectra|975|Blue Cross and Blue Shield of Alabama|Medicare Advantage Plan|87964|Inflectra v. Remicade|Remicade Preferred|7/1/2019|
Infliximab|Renflexis|985|BlueCross BlueShield Michigan|Medicare Advantage Plan|526296|Renflexis v. Remicade - GI|Parity|8/9/2018|
Infliximab|Renflexis|985|BlueCross BlueShield Michigan|Medicare Advantage Plan|526296|Renflexis v. Remicade - Rheum|Parity|8/9/2018|
Infliximab|Inflectra|985|BlueCross BlueShield Michigan|Medicare Advantage Plan|526296|Renflexis v. Inflectra - GI|Inflectra Preferred|8/9/2018|
Infliximab|Inflectra|985|BlueCross BlueShield Michigan|Medicare Advantage Plan|526296|Renflexis v. Inflectra - Rheum|Inflectra Preferred|8/9/2018|
Infliximab|Inflectra|985|BlueCross BlueShield Michigan|Medicare Advantage Plan|526296|Renflexis v. Remicade & Inflectra - Rheum|Inflectra Preferred|8/9/2018|
Infliximab|Inflectra|985|BlueCross BlueShield Michigan|Medicare Advantage Plan|526296|Inflectra v. Remicade|Inflectra Preferred|8/9/2018|
Infliximab|Renflexis|976|BlueCross BlueShield Minnesota|Medicare Advantage Plan|269163|Renflexis v. Remicade - GI|Not Covered|7/29/2019|
Infliximab|Renflexis|976|BlueCross BlueShield Minnesota|Medicare Advantage Plan|269163|Renflexis v. Remicade - Rheum|Not Covered|7/29/2019|
Infliximab|Inflectra|976|BlueCross BlueShield Minnesota|Medicare Advantage Plan|269163|Renflexis v. Inflectra - GI|Not Covered|7/29/2019|
Infliximab|Inflectra|976|BlueCross BlueShield Minnesota|Medicare Advantage Plan|269163|Renflexis v. Inflectra - Rheum|Not Covered|7/29/2019|
Infliximab|Inflectra|976|BlueCross BlueShield Minnesota|Medicare Advantage Plan|269163|Renflexis v. Remicade & Inflectra - Rheum|Not Covered|7/29/2019|
Infliximab|Inflectra|976|BlueCross BlueShield Minnesota|Medicare Advantage Plan|269163|Inflectra v. Remicade|Not Covered|7/29/2019|
Infliximab|Renflexis|987|BlueCross BlueShield North Carolina|Medicare Advantage Plan|76704|Renflexis v. Remicade - GI|Renflexis Preferred|11/20/2019|
Infliximab|Renflexis|987|BlueCross BlueShield North Carolina|Medicare Advantage Plan|76704|Renflexis v. Remicade - Rheum|Renflexis Preferred|11/20/2019|
Infliximab|Inflectra|987|BlueCross BlueShield North Carolina|Medicare Advantage Plan|76704|Renflexis v. Inflectra - GI|Parity|11/20/2019|
Infliximab|Inflectra|987|BlueCross BlueShield North Carolina|Medicare Advantage Plan|76704|Renflexis v. Inflectra - Rheum|Parity|11/20/2019|
Infliximab|Inflectra|987|BlueCross BlueShield North Carolina|Medicare Advantage Plan|76704|Renflexis v. Remicade & Inflectra - Rheum|Biosimilars Preferred|11/20/2019|
Infliximab|Inflectra|987|BlueCross BlueShield North Carolina|Medicare Advantage Plan|76704|Inflectra v. Remicade|Inflectra Preferred|11/20/2019|
Infliximab|Renflexis|992|BlueCross BlueShield Tennessee|Medicare Advantage Plan|135996|Renflexis v. Remicade - GI|Parity|12/1/2019|
Infliximab|Renflexis|992|BlueCross BlueShield Tennessee|Medicare Advantage Plan|135996|Renflexis v. Remicade - Rheum|Parity|12/1/2019|
Infliximab|Inflectra|992|BlueCross BlueShield Tennessee|Medicare Advantage Plan|135996|Renflexis v. Inflectra - GI|Parity|12/1/2019|
Infliximab|Inflectra|992|BlueCross BlueShield Tennessee|Medicare Advantage Plan|135996|Renflexis v. Inflectra - Rheum|Parity|12/1/2019|
Infliximab|Inflectra|992|BlueCross BlueShield Tennessee|Medicare Advantage Plan|135996|Renflexis v. Remicade & Inflectra - Rheum|Parity|12/1/2019|
Infliximab|Inflectra|992|BlueCross BlueShield Tennessee|Medicare Advantage Plan|135996|Inflectra v. Remicade|Parity|12/1/2019|
Infliximab|Renflexis|979|BlueShield California|Medicare Advantage Plan|155055|Renflexis v. Remicade - GI|Parity|10/1/2019|
Infliximab|Renflexis|979|BlueShield California|Medicare Advantage Plan|155055|Renflexis v. Remicade - Rheum|Parity|10/1/2019|
Infliximab|Inflectra|979|BlueShield California|Medicare Advantage Plan|155055|Renflexis v. Inflectra - GI|Parity|10/1/2019|
Infliximab|Inflectra|979|BlueShield California|Medicare Advantage Plan|155055|Renflexis v. Inflectra - Rheum|Parity|10/1/2019|
Infliximab|Inflectra|979|BlueShield California|Medicare Advantage Plan|155055|Renflexis v. Remicade & Inflectra - Rheum|Parity|10/1/2019|
Infliximab|Inflectra|979|BlueShield California|Medicare Advantage Plan|155055|Inflectra v. Remicade|Parity|10/1/2019|
Infliximab|Renflexis|1220|Cambia Health Solutions|Medicare Advantage Plan|93847|Renflexis v. Remicade - GI|Remicade Preferred|10/1/2019|
Infliximab|Renflexis|1220|Cambia Health Solutions|Medicare Advantage Plan|93847|Renflexis v. Remicade - Rheum|Remicade Preferred|10/1/2019|
Infliximab|Inflectra|1220|Cambia Health Solutions|Medicare Advantage Plan|93847|Renflexis v. Inflectra - GI|Parity|10/1/2019|
Infliximab|Inflectra|1220|Cambia Health Solutions|Medicare Advantage Plan|93847|Renflexis v. Inflectra - Rheum|Parity|10/1/2019|
Infliximab|Inflectra|1220|Cambia Health Solutions|Medicare Advantage Plan|93847|Renflexis v. Remicade & Inflectra - Rheum|Remicade Preferred|10/1/2019|
Infliximab|Inflectra|1220|Cambia Health Solutions|Medicare Advantage Plan|93847|Inflectra v. Remicade|Remicade Preferred|10/1/2019|
Infliximab|Renflexis|999|Capital BlueCross|Medicare Advantage Plan|30071|Renflexis v. Remicade - GI|Remicade Preferred|6/1/2019|
Infliximab|Renflexis|999|Capital BlueCross|Medicare Advantage Plan|30071|Renflexis v. Remicade - Rheum|Remicade Preferred|6/1/2019|
Infliximab|Inflectra|999|Capital BlueCross|Medicare Advantage Plan|30071|Renflexis v. Inflectra - GI|Parity|6/1/2019|
Infliximab|Inflectra|999|Capital BlueCross|Medicare Advantage Plan|30071|Renflexis v. Inflectra - Rheum|Parity|6/1/2019|
Infliximab|Inflectra|999|Capital BlueCross|Medicare Advantage Plan|30071|Renflexis v. Remicade & Inflectra - Rheum|Remicade Preferred|6/1/2019|
Infliximab|Inflectra|999|Capital BlueCross|Medicare Advantage Plan|30071|Inflectra v. Remicade|Remicade Preferred|6/1/2019|
Infliximab|Renflexis|1005|Centene|Medicare Advantage Plan|54175|Renflexis v. Remicade - GI|Remicade Preferred|12/1/2019|
Infliximab|Renflexis|1005|Centene|Medicare Advantage Plan|54175|Renflexis v. Remicade - Rheum|Remicade Preferred|12/1/2019|
Infliximab|Inflectra|1005|Centene|Medicare Advantage Plan|54175|Renflexis v. Inflectra - GI|Inflectra Preferred|12/1/2019|
Infliximab|Inflectra|1005|Centene|Medicare Advantage Plan|54175|Renflexis v. Inflectra - Rheum|Inflectra Preferred|12/1/2019|
Infliximab|Inflectra|1005|Centene|Medicare Advantage Plan|54175|Renflexis v. Remicade & Inflectra - Rheum|Remicade & Inflectra Preferred|12/1/2019|
Infliximab|Inflectra|1005|Centene|Medicare Advantage Plan|54175|Inflectra v. Remicade|Parity|12/1/2019|
Infliximab|Renflexis|1009|Cigna|Medicare Advantage Plan|431922|Renflexis v. Remicade - GI|Renflexis Preferred|12/1/2019|
Infliximab|Renflexis|1009|Cigna|Medicare Advantage Plan|431922|Renflexis v. Remicade - Rheum|Renflexis Preferred|12/1/2019|
Infliximab|Inflectra|1009|Cigna|Medicare Advantage Plan|431922|Renflexis v. Inflectra - GI|Renflexis Preferred|12/1/2019|
Infliximab|Inflectra|1009|Cigna|Medicare Advantage Plan|431922|Renflexis v. Inflectra - Rheum|Renflexis Preferred|12/1/2019|
Infliximab|Inflectra|1009|Cigna|Medicare Advantage Plan|431922|Renflexis v. Remicade & Inflectra - Rheum|Renflexis Preferred|12/1/2019|
Infliximab|Inflectra|1009|Cigna|Medicare Advantage Plan|431922|Inflectra v. Remicade|Parity|12/1/2019|
Infliximab|Renflexis|2141|CVS Health|Medicare Advantage Plan|0|Renflexis v. Remicade - GI|Remicade Preferred|12/1/2019|
Infliximab|Renflexis|2141|CVS Health|Medicare Advantage Plan|0|Renflexis v. Remicade - Rheum|Remicade Preferred|12/1/2019|
Infliximab|Inflectra|2141|CVS Health|Medicare Advantage Plan|0|Renflexis v. Inflectra - GI|Parity|12/1/2019|
Infliximab|Inflectra|2141|CVS Health|Medicare Advantage Plan|0|Renflexis v. Inflectra - Rheum|Parity|12/1/2019|
Infliximab|Inflectra|2141|CVS Health|Medicare Advantage Plan|0|Renflexis v. Remicade & Inflectra - Rheum|Remicade Preferred|12/1/2019|
Infliximab|Inflectra|2141|CVS Health|Medicare Advantage Plan|0|Inflectra v. Remicade|Remicade Preferred|12/1/2019|
Infliximab|Renflexis|2096|EmblemHealth|Medicare Advantage Plan|161533|Renflexis v. Remicade - GI|Remicade Preferred|9/11/2019|
Infliximab|Renflexis|2096|EmblemHealth|Medicare Advantage Plan|161533|Renflexis v. Remicade - Rheum|Remicade Preferred|9/11/2019|
Infliximab|Inflectra|2096|EmblemHealth|Medicare Advantage Plan|161533|Renflexis v. Inflectra - GI|Parity|9/11/2019|
Infliximab|Inflectra|2096|EmblemHealth|Medicare Advantage Plan|161533|Renflexis v. Inflectra - Rheum|Parity|9/11/2019|
Infliximab|Inflectra|2096|EmblemHealth|Medicare Advantage Plan|161533|Renflexis v. Remicade & Inflectra - Rheum|Remicade Preferred|9/11/2019|
Infliximab|Inflectra|2096|EmblemHealth|Medicare Advantage Plan|161533|Inflectra v. Remicade|Remicade Preferred|9/11/2019|
Infliximab|Renflexis|982|Florida Blue|Medicare Advantage Plan|151871|Renflexis v. Remicade - GI|Remicade Preferred|12/1/2019|
Infliximab|Renflexis|982|Florida Blue|Medicare Advantage Plan|151871|Renflexis v. Remicade - Rheum|Remicade Preferred|12/1/2019|
Infliximab|Inflectra|982|Florida Blue|Medicare Advantage Plan|151871|Renflexis v. Inflectra - GI|Parity|12/1/2019|
Infliximab|Inflectra|982|Florida Blue|Medicare Advantage Plan|151871|Renflexis v. Inflectra - Rheum|Parity|12/1/2019|
Infliximab|Inflectra|982|Florida Blue|Medicare Advantage Plan|151871|Renflexis v. Remicade & Inflectra - Rheum|Remicade Preferred|12/1/2019|
Infliximab|Inflectra|982|Florida Blue|Medicare Advantage Plan|151871|Inflectra v. Remicade|Remicade Preferred|12/1/2019|
Infliximab|Renflexis|1062|Geisinger Health System|Medicare Advantage Plan|93820|Renflexis v. Remicade - GI|Parity|9/18/2018|
Infliximab|Renflexis|1062|Geisinger Health System|Medicare Advantage Plan|93820|Renflexis v. Remicade - Rheum|Parity|9/18/2018|
Infliximab|Inflectra|1062|Geisinger Health System|Medicare Advantage Plan|93820|Renflexis v. Inflectra - GI|Inflectra Preferred|9/18/2018|
Infliximab|Inflectra|1062|Geisinger Health System|Medicare Advantage Plan|93820|Renflexis v. Inflectra - Rheum|Inflectra Preferred|9/18/2018|
Infliximab|Inflectra|1062|Geisinger Health System|Medicare Advantage Plan|93820|Renflexis v. Remicade & Inflectra - Rheum|Inflectra Preferred|9/18/2018|
Infliximab|Inflectra|1062|Geisinger Health System|Medicare Advantage Plan|93820|Inflectra v. Remicade|Inflectra Preferred|9/18/2018|
Infliximab|Renflexis||Group Health Cooperative (WA)|Medicare Advantage Plan||Renflexis v. Remicade - GI|Inflectra Preferred|10/30/2019|
Infliximab|Renflexis||Group Health Cooperative (WA)|Medicare Advantage Plan||Renflexis v. Remicade - Rheum|Parity|10/30/2019|
Infliximab|Inflectra||Group Health Cooperative (WA)|Medicare Advantage Plan||Renflexis v. Inflectra - GI|Inflectra Preferred|10/30/2019|
Infliximab|Inflectra||Group Health Cooperative (WA)|Medicare Advantage Plan||Renflexis v. Inflectra - Rheum|Inflectra Preferred|10/30/2019|
Infliximab|Inflectra||Group Health Cooperative (WA)|Medicare Advantage Plan||Renflexis v. Remicade & Inflectra - Rheum|Inflectra Preferred|10/30/2019|
Infliximab|Inflectra||Group Health Cooperative (WA)|Medicare Advantage Plan||Inflectra v. Remicade|Parity|10/30/2019|
Infliximab|Renflexis|1074|Health Care Service Corporation|Medicare Advantage Plan|125764|Renflexis v. Remicade - GI|Parity|1/1/2019|
Infliximab|Renflexis|1074|Health Care Service Corporation|Medicare Advantage Plan|125764|Renflexis v. Remicade - Rheum|Parity|1/1/2019|
Infliximab|Inflectra|1074|Health Care Service Corporation|Medicare Advantage Plan|125764|Renflexis v. Inflectra - GI|Parity|1/1/2019|
Infliximab|Inflectra|1074|Health Care Service Corporation|Medicare Advantage Plan|125764|Renflexis v. Inflectra - Rheum|Parity|1/1/2019|
Infliximab|Inflectra|1074|Health Care Service Corporation|Medicare Advantage Plan|125764|Renflexis v. Remicade & Inflectra - Rheum|Parity|1/1/2019|
Infliximab|Inflectra|1074|Health Care Service Corporation|Medicare Advantage Plan|125764|Inflectra v. Remicade|Parity|1/1/2019|
Infliximab|Renflexis||Health Net|Medicare Advantage Plan|248538|Renflexis v. Remicade - GI|Remicade Preferred|12/1/2019|
Infliximab|Renflexis||Health Net|Medicare Advantage Plan|248538|Renflexis v. Remicade - Rheum|Remicade Preferred|12/1/2019|
Infliximab|Inflectra||Health Net|Medicare Advantage Plan|248538|Renflexis v. Inflectra - GI|Inflectra Preferred|12/1/2019|
Infliximab|Inflectra||Health Net|Medicare Advantage Plan|248538|Renflexis v. Inflectra - Rheum|Inflectra Preferred|12/1/2019|
Infliximab|Inflectra||Health Net|Medicare Advantage Plan|248538|Renflexis v. Remicade & Inflectra - Rheum|Remicade & Inflectra Preferred|12/1/2019|
Infliximab|Inflectra||Health Net|Medicare Advantage Plan|248538|Inflectra v. Remicade|Parity|12/1/2019|
Infliximab|Renflexis|1095|Highmark|Medicare Advantage Plan|321992|Renflexis v. Remicade - GI|Parity|1/1/2019|
Infliximab|Renflexis|1095|Highmark|Medicare Advantage Plan|321992|Renflexis v. Remicade - Rheum|Parity|1/1/2019|
Infliximab|Inflectra|1095|Highmark|Medicare Advantage Plan|321992|Renflexis v. Inflectra - GI|Parity|1/1/2019|
Infliximab|Inflectra|1095|Highmark|Medicare Advantage Plan|321992|Renflexis v. Inflectra - Rheum|Parity|1/1/2019|
Infliximab|Inflectra|1095|Highmark|Medicare Advantage Plan|321992|Renflexis v. Remicade & Inflectra - Rheum|Parity|1/1/2019|
Infliximab|Inflectra|1095|Highmark|Medicare Advantage Plan|321992|Inflectra v. Remicade|Parity|1/1/2019|
Infliximab|Renflexis|1072|BlueCross BlueShield Hawaii (HMSA)|Medicare Advantage Plan|36317|Renflexis v. Remicade - GI|Parity|1/1/2018|
Infliximab|Renflexis|1072|BlueCross BlueShield Hawaii (HMSA)|Medicare Advantage Plan|36317|Renflexis v. Remicade - Rheum|Parity|1/1/2018|
Infliximab|Inflectra|1072|BlueCross BlueShield Hawaii (HMSA)|Medicare Advantage Plan|36317|Renflexis v. Inflectra - GI|Parity|1/1/2018|
Infliximab|Inflectra|1072|BlueCross BlueShield Hawaii (HMSA)|Medicare Advantage Plan|36317|Renflexis v. Inflectra - Rheum|Parity|1/1/2018|
Infliximab|Inflectra|1072|BlueCross BlueShield Hawaii (HMSA)|Medicare Advantage Plan|36317|Renflexis v. Remicade & Inflectra - Rheum|Parity|1/1/2018|
Infliximab|Inflectra|1072|BlueCross BlueShield Hawaii (HMSA)|Medicare Advantage Plan|36317|Inflectra v. Remicade|Parity|1/1/2018|
Infliximab|Renflexis|1099|Horizon Blue Cross Blue Shield of New Jersey|Medicare Advantage Plan|84898|Renflexis v. Remicade - GI|Renflexis Preferred|12/1/2019|
Infliximab|Renflexis|1099|Horizon Blue Cross Blue Shield of New Jersey|Medicare Advantage Plan|84898|Renflexis v. Remicade - Rheum|Renflexis Preferred|12/1/2019|
Infliximab|Inflectra|1099|Horizon Blue Cross Blue Shield of New Jersey|Medicare Advantage Plan|84898|Renflexis v. Inflectra - GI|Renflexis Preferred|12/1/2019|
Infliximab|Inflectra|1099|Horizon Blue Cross Blue Shield of New Jersey|Medicare Advantage Plan|84898|Renflexis v. Inflectra - Rheum|Renflexis Preferred|12/1/2019|
Infliximab|Inflectra|1099|Horizon Blue Cross Blue Shield of New Jersey|Medicare Advantage Plan|84898|Renflexis v. Remicade & Inflectra - Rheum|Renflexis Preferred|12/1/2019|
Infliximab|Inflectra|1099|Horizon Blue Cross Blue Shield of New Jersey|Medicare Advantage Plan|84898|Inflectra v. Remicade|Parity|12/1/2019|
Infliximab|Renflexis|1100|Humana|Medicare Advantage Plan|3509587|Renflexis v. Remicade - GI|Remicade Preferred|12/11/2019|
Infliximab|Renflexis|1100|Humana|Medicare Advantage Plan|3509587|Renflexis v. Remicade - Rheum|Remicade Preferred|12/11/2019|
Infliximab|Inflectra|1100|Humana|Medicare Advantage Plan|3509587|Renflexis v. Inflectra - GI|Inflectra Preferred|12/11/2019|
Infliximab|Inflectra|1100|Humana|Medicare Advantage Plan|3509587|Renflexis v. Inflectra - Rheum|Inflectra Preferred|12/11/2019|
Infliximab|Inflectra|1100|Humana|Medicare Advantage Plan|3509587|Renflexis v. Remicade & Inflectra - Rheum|Remicade Preferred|12/11/2019|
Infliximab|Inflectra|1100|Humana|Medicare Advantage Plan|3509587|Inflectra v. Remicade|Remicade Preferred|12/11/2019|
Infliximab|Renflexis|1101|Independence Health Group|Medicare Advantage Plan|115525|Renflexis v. Remicade - GI|Parity|4/22/2019|
Infliximab|Renflexis|1101|Independence Health Group|Medicare Advantage Plan|115525|Renflexis v. Remicade - Rheum|Parity|4/22/2019|
Infliximab|Inflectra|1101|Independence Health Group|Medicare Advantage Plan|115525|Renflexis v. Inflectra - GI|Parity|4/22/2019|
Infliximab|Inflectra|1101|Independence Health Group|Medicare Advantage Plan|115525|Renflexis v. Inflectra - Rheum|Parity|4/22/2019|
Infliximab|Inflectra|1101|Independence Health Group|Medicare Advantage Plan|115525|Renflexis v. Remicade & Inflectra - Rheum|Parity|4/22/2019|
Infliximab|Inflectra|1101|Independence Health Group|Medicare Advantage Plan|115525|Inflectra v. Remicade|Parity|4/22/2019|
Infliximab|Renflexis|1108|Intermountain Healthcare|Medicare Advantage Plan|40032|Renflexis v. Remicade - GI|Renflexis Preferred|1/19/2019|
Infliximab|Renflexis|1108|Intermountain Healthcare|Medicare Advantage Plan|40032|Renflexis v. Remicade - Rheum|Renflexis Preferred|1/19/2019|
Infliximab|Inflectra|1108|Intermountain Healthcare|Medicare Advantage Plan|40032|Renflexis v. Inflectra - GI|Renflexis Preferred|1/19/2019|
Infliximab|Inflectra|1108|Intermountain Healthcare|Medicare Advantage Plan|40032|Renflexis v. Inflectra - Rheum|Renflexis Preferred|1/19/2019|
Infliximab|Inflectra|1108|Intermountain Healthcare|Medicare Advantage Plan|40032|Renflexis v. Remicade & Inflectra - Rheum|Renflexis Preferred|1/19/2019|
Infliximab|Inflectra|1108|Intermountain Healthcare|Medicare Advantage Plan|40032|Inflectra v. Remicade|Parity|1/19/2019|
Infliximab|Renflexis|1112|Kaiser Permanente|Medicare Advantage Plan|1571952|Renflexis v. Remicade - GI|Inflectra Preferred|12/30/1899|
Infliximab|Renflexis|1112|Kaiser Permanente|Medicare Advantage Plan|1571952|Renflexis v. Remicade - Rheum|Parity|12/30/1899|
Infliximab|Inflectra|1112|Kaiser Permanente|Medicare Advantage Plan|1571952|Renflexis v. Inflectra - GI|Inflectra Preferred|12/30/1899|
Infliximab|Inflectra|1112|Kaiser Permanente|Medicare Advantage Plan|1571952|Renflexis v. Inflectra - Rheum|Inflectra Preferred|12/30/1899|
